,rating,num_beds,num_bath,property_type,price,neighbourhood,latitude,longitude,room_type,number_of_reviews,reviews_per_month,price_range
3776,4.78,2.0,1.0,Condo,58,West Town,41.89581,-87.65577,Entire home/apt,74,2.69,<$100
3777,4.73,1.0,1.0,Condo,61,West Town,41.89581,-87.65577,Entire home/apt,56,2.05,<$100
3778,4.78,1.0,1.0,Condo,65,West Town,41.89581,-87.65577,Entire home/apt,97,3.51,<$100
3779,4.8,1.0,1.0,Condo,75,West Town,41.89581,-87.65577,Entire home/apt,88,3.24,<$100
3780,4.74,1.0,1.0,Condo,71,West Town,41.89581,-87.65577,Entire home/apt,78,2.85,<$100
3781,4.75,2.0,2.0,Serviced,594,Near North Side,41.89132690429688,-87.6378402709961,Entire home/apt,4,0.16,>$300
3782,4.87,1.0,1.0,Rental,149,Lincoln Park,41.91693,-87.63469,Entire home/apt,108,4.01,$100 - $300
3783,4.84,1.0,1.0,Rental,52,Near West Side,41.86049,-87.66344,Private room,0,1.59,<$100
3784,4.84,1.0,1.0,Rental,52,Near West Side,41.86039,-87.66299,Private room,0,1.59,<$100
3785,4.95,1.0,2.0,Condo,119,Hyde Park,41.79842758178711,-87.60546112060547,Private room,57,2.2,$100 - $300
3786,4.74,2.0,1.0,Rental,77,Logan Square,41.91365,-87.71749,Entire home/apt,82,2.97,<$100
3787,4.77,2.0,2.0,Condo,101,West Town,41.90019,-87.66292,Entire home/apt,39,1.44,$100 - $300
3788,4.84,2.0,2.0,Home,188,Douglas,41.84431,-87.62664,Entire home/apt,1,0.45,$100 - $300
3789,5.0,2.0,1.0,Condo,265,North Center,41.95147,-87.678,Entire home/apt,28,3.05,$100 - $300
3790,4.84,1.0,1.0,Rental,170,Near North Side,41.891468,-87.614749,Entire home/apt,0,1.59,$100 - $300
3791,4.84,1.0,1.0,Rental,169,Near North Side,41.891468,-87.614749,Entire home/apt,1,0.12,$100 - $300
3792,4.84,1.0,1.0,Rental,155,Near North Side,41.891468,-87.614749,Entire home/apt,0,1.59,$100 - $300
3793,4.84,2.0,1.0,Rental,136,Near North Side,41.8986092,-87.62068190000002,Entire home/apt,0,1.59,$100 - $300
3794,4.84,1.0,1.0,Rental,122,Near West Side,41.8763,-87.65371999999999,Entire home/apt,2,0.09,$100 - $300
3795,4.84,1.0,1.0,Rental,141,Near West Side,41.8763,-87.65371999999999,Entire home/apt,0,1.59,$100 - $300
3796,4.84,1.0,1.0,Serviced,199,Near West Side,41.88041,-87.64636,Entire home/apt,0,1.59,$100 - $300
3797,4.84,2.0,2.0,Condo,282,South Shore,41.76306,-87.58181,Entire home/apt,2,0.08,$100 - $300
3798,4.8,1.0,5.0,Condo,122,Near West Side,41.86732,-87.68534,Entire home/apt,59,2.19,$100 - $300
3799,4.83,4.0,5.0,Home,785,Uptown,41.96915,-87.65819,Entire home/apt,12,0.49,>$300
3800,4.4,2.0,1.0,Condo,126,Douglas,41.83275,-87.62007,Entire home/apt,57,2.14,$100 - $300
3801,4.84,1.0,1.0,Rental,133,Near North Side,41.8945286,-87.63340520000003,Entire home/apt,2,0.08,$100 - $300
